1.2733e-11-1.6816e+05i,1.2733e-11+1.6816e+05i,-3.4106e-13-75774i,-3.4106e-13+75774i,7.276e-12-56346i,7.276e-12+56346i,-2.7285e-12-30856i,-2.7285e-12+30856i,1.4779e-12-23418i,1.4779e-12+23418i,0-12435i,0+12435i,-1.7621e-12-3579.6i,-1.7621e-12+3579.6i,3.4106e-12-5290.9i,3.4106e-12+5290.9i
-1.0232e-12-1.4784e+05i,-1.0232e-12+1.4784e+05i,3.4106e-13-77445i,3.4106e-13+77445i,2.5011e-12-47130i,2.5011e-12+47130i,-2.7285e-12-30056i,-2.7285e-12+30056i,-3.1832e-12-27222i,-3.1832e-12+27222i,3.1832e-12-10329i,3.1832e-12+10329i,9.0949e-13-5966i,9.0949e-13+5966i,1.1369e-12-433.54i,1.1369e-12+433.54i
1.9327e-12-1.6707e+05i,1.9327e-12+1.6707e+05i,-6.5086e-12-93548i,-6.5086e-12+93548i,2.9967e-12-33009i,2.9967e-12+33009i,-6.8212e-13-15357i,-6.8212e-13+15357i,2.6148e-12-12421i,2.6148e-12+12421i,-1.0232e-12-3392.2i,-1.0232e-12+3392.2i,1.1369e-12-1963.7i,1.1369e-12+1963.7i,-1.4069e-12-503.58i,-1.4069e-12+503.58i
-2.7285e-12-99065i,-2.7285e-12+99065i,1.5916e-12-67973i,1.5916e-12+67973i,-5.6843e-14-32225i,-5.6843e-14+32225i,2.2453e-12-19054i,2.2453e-12+19054i,-7.3896e-13-15151i,-7.3896e-13+15151i,-6.8212e-13-5091.5i,-6.8212e-13+5091.5i,3.1832e-12-3384.5i,3.1832e-12+3384.5i,1.0374e-12-238.15i,1.0374e-12+238.15i
1.3188e-11-1.2184e+05i,1.3188e-11+1.2184e+05i,-5.9117e-12-86979i,-5.9117e-12+86979i,1.819e-12-37421i,1.819e-12+37421i,-1.5916e-12-24117i,-1.5916e-12+24117i,-2.2737e-12-15556i,-2.2737e-12+15556i,-9.0949e-13-8311.4i,-9.0949e-13+8311.4i,2.3306e-12-5125.4i,2.3306e-12+5125.4i,7.3896e-13-1634.3i,7.3896e-13+1634.3i
-5.457e-12-2.216e+05i,-5.457e-12+2.216e+05i,-7.5033e-12-1.0971e+05i,-7.5033e-12+1.0971e+05i,0-45664i,0+45664i,5.1159e-13-34151i,5.1159e-13+34151i,9.0949e-13-21837i,9.0949e-13+21837i,-2.2737e-12-8979.8i,-2.2737e-12+8979.8i,7.816e-13-4095i,7.816e-13+4095i,-5.6843e-13-2497.8i,-5.6843e-13+2497.8i
2.1032e-12-1.684e+05i,2.1032e-12+1.684e+05i,1.3642e-12-78822i,1.3642e-12+78822i,9.0949e-13-37956i,9.0949e-13+37956i,2.2737e-12-30370i,2.2737e-12+30370i,1.819e-12-16927i,1.819e-12+16927i,-3.5243e-12-10169i,-3.5243e-12+10169i,4.5475e-13-4631.3i,4.5475e-13+4631.3i,1.4211e-12-1039.4i,1.4211e-12+1039.4i
2.7285e-12-2.0294e+05i,2.7285e-12+2.0294e+05i,-2.2169e-12-91233i,-2.2169e-12+91233i,1.2506e-12-55192i,1.2506e-12+55192i,2.5011e-12-32288i,2.5011e-12+32288i,1.819e-12-14464i,1.819e-12+14464i,-1.819e-12-11385i,-1.819e-12+11385i,1.0232e-12-5358.2i,1.0232e-12+5358.2i,1.5916e-12-1592.6i,1.5916e-12+1592.6i
-5.0022e-12-2.2124e+05i,-5.0022e-12+2.2124e+05i,1.7053e-12-1.1232e+05i,1.7053e-12+1.1232e+05i,0-79235i,0+79235i,-1.3642e-12-26706i,-1.3642e-12+26706i,-1.819e-12-12855i,-1.819e-12+12855i,9.0949e-13-8960.8i,9.0949e-13+8960.8i,-7.0486e-12-3409i,-7.0486e-12+3409i,-1.819e-12-6433.9i,-1.819e-12+6433.9i
9.0949e-13-1.4729e+05i,9.0949e-13+1.4729e+05i,6.3665e-12-82109i,6.3665e-12+82109i,-1.4779e-12-35895i,-1.4779e-12+35895i,-1.3642e-12-32546i,-1.3642e-12+32546i,0-21344i,0+21344i,3.8511e-12-8436.5i,3.8511e-12+8436.5i,-1.3074e-12-1884.3i,-1.3074e-12+1884.3i,0-5716i,0+5716i
-7.3896e-13-1.6293e+05i,-7.3896e-13+1.6293e+05i,6.0453e-77-96373i,6.0453e-77+96373i,0-57438i,0+57438i,-4.5475e-13-33896i,-4.5475e-13+33896i,-9.0949e-13-17767i,-9.0949e-13+17767i,-9.0949e-13-10691i,-9.0949e-13+10691i,0-4360.6i,0+4360.6i,3.9222e-12-609.99i,3.9222e-12+609.99i
