0-91675i,0+91675i,3.638e-12-51860i,3.638e-12+51860i,-1.819e-12-44508i,-1.819e-12+44508i,-2.9559e-12-36809i,-2.9559e-12+36809i,-1.5916e-12-17982i,-1.5916e-12+17982i,-5.6843e-13-12527i,-5.6843e-13+12527i,2.2737e-13-7459.5i,2.2737e-13+7459.5i,1.9327e-12-595.79i,1.9327e-12+595.79i
-3.979e-12-1.0099e+05i,-3.979e-12+1.0099e+05i,-1.819e-12-52513i,-1.819e-12+52513i,-4.5475e-13-48029i,-4.5475e-13+48029i,2.2737e-12-40263i,2.2737e-12+40263i,-3.4106e-12-23146i,-3.4106e-12+23146i,4.5475e-13-15040i,4.5475e-13+15040i,5.6843e-14-5743.2i,5.6843e-14+5743.2i,-6.8212e-13-2381i,-6.8212e-13+2381i
-6.3665e-12-1.0459e+05i,-6.3665e-12+1.0459e+05i,5.0022e-12-56662i,5.0022e-12+56662i,-2.7285e-12-46752i,-2.7285e-12+46752i,2.16e-12-33174i,2.16e-12+33174i,1.819e-12-22841i,1.819e-12+22841i,-6.8212e-13-15841i,-6.8212e-13+15841i,1.1369e-12-6176.2i,1.1369e-12+6176.2i,3.0127e-12-5155.7i,3.0127e-12+5155.7i
8.6402e-12-1.0143e+05i,8.6402e-12+1.0143e+05i,-9.2015e-13-75684i,-9.2015e-13+75684i,9.0949e-13-56714i,9.0949e-13+56714i,3.638e-12-26170i,3.638e-12+26170i,-3.1832e-12-17029i,-3.1832e-12+17029i,1.1937e-12-12134i,1.1937e-12+12134i,2.2737e-13-6998.7i,2.2737e-13+6998.7i,8.491e-13-335.98i,8.491e-13+335.98i
-1.3074e-12-77943i,-1.3074e-12+77943i,3.638e-12-50442i,3.638e-12+50442i,6.8212e-13-38908i,6.8212e-13+38908i,4.5475e-13-21488i,4.5475e-13+21488i,1.0232e-12-20606i,1.0232e-12+20606i,0-15091i,0+15091i,3.1832e-12-6393.5i,3.1832e-12+6393.5i,-5.6843e-14-880.44i,-5.6843e-14+880.44i
9.0949e-12-1.2602e+05i,9.0949e-12+1.2602e+05i,0-76706i,0+76706i,4.0927e-12-54044i,4.0927e-12+54044i,1.3642e-12-47865i,1.3642e-12+47865i,3.638e-12-26481i,3.638e-12+26481i,1.0232e-12-21151i,1.0232e-12+21151i,-9.0949e-13-8157.2i,-9.0949e-13+8157.2i,-3.8369e-13-399.01i,-3.8369e-13+399.01i
-2.2737e-12-65288i,-2.2737e-12+65288i,4.5475e-13-55913i,4.5475e-13+55913i,-3.638e-12-47306i,-3.638e-12+47306i,-2.7285e-12-28016i,-2.7285e-12+28016i,-1.9327e-12-21471i,-1.9327e-12+21471i,2.5011e-12-9249.3i,2.5011e-12+9249.3i,0-5016.3i,0+5016.3i,-1.2506e-12-484.83i,-1.2506e-12+484.83i
-4.5901e-12-86629i,-4.5901e-12+86629i,5.457e-12-55916i,5.457e-12+55916i,-3.638e-12-42087i,-3.638e-12+42087i,-3.1832e-12-37087i,-3.1832e-12+37087i,0-24486i,0+24486i,9.0949e-13-16013i,9.0949e-13+16013i,6.8212e-13-8690.3i,6.8212e-13+8690.3i,-2.2737e-13-681.13i,-2.2737e-13+681.13i
7.276e-12-2.0719e+05i,7.276e-12+2.0719e+05i,-2.0464e-12-1.0087e+05i,-2.0464e-12+1.0087e+05i,0-68422i,0+68422i,-2.5011e-12-50587i,-2.5011e-12+50587i,2.2737e-12-29062i,2.2737e-12+29062i,2.2737e-12-19056i,2.2737e-12+19056i,1.819e-12-8449.7i,1.819e-12+8449.7i,0-12389i,0+12389i
-7.276e-12-2.9324e+05i,-7.276e-12+2.9324e+05i,2.2737e-12-1.4681e+05i,2.2737e-12+1.4681e+05i,1.819e-12-85919i,1.819e-12+85919i,-3.4106e-12-60272i,-3.4106e-12+60272i,-2.7285e-12-41405i,-2.7285e-12+41405i,-3.638e-12-24643i,-3.638e-12+24643i,-5.0022e-12-10417i,-5.0022e-12+10417i,-2.4443e-12-1979.3i,-2.4443e-12+1979.3i
-9.0949e-12-1.5981e+05i,-9.0949e-12+1.5981e+05i,1.819e-12-75382i,1.819e-12+75382i,1.3642e-12-53547i,1.3642e-12+53547i,-1.3642e-12-50070i,-1.3642e-12+50070i,-5.0733e-12-36488i,-5.0733e-12+36488i,5.457e-12-17557i,5.457e-12+17557i,1.1369e-12-14278i,1.1369e-12+14278i,2.16e-12-1325.4i,2.16e-12+1325.4i
0-1.0185e+05i,0+1.0185e+05i,1.1369e-13-70855i,1.1369e-13+70855i,1.6485e-12-47902i,1.6485e-12+47902i,-3.638e-12-40274i,-3.638e-12+40274i,-2.3306e-12-29724i,-2.3306e-12+29724i,0-14290i,0+14290i,-1.3074e-12-8461.8i,-1.3074e-12+8461.8i,-4.1815e-12-1843.2i,-4.1815e-12+1843.2i
-9.0949e-13-94828i,-9.0949e-13+94828i,6.3665e-12-68921i,6.3665e-12+68921i,0-44221i,0+44221i,6.8638e-12-34738i,6.8638e-12+34738i,3.979e-12-19596i,3.979e-12+19596i,-3.638e-12-9227.7i,-3.638e-12+9227.7i,-2.2737e-13-2306.7i,-2.2737e-13+2306.7i,-3.0695e-12-6371.5i,-3.0695e-12+6371.5i
