3.1832e-12-72632i,3.1832e-12+72632i,2.9843e-13-45528i,2.9843e-13+45528i,1.819e-12-26717i,1.819e-12+26717i,3.979e-13-24293i,3.979e-13+24293i,4.5475e-13-17988i,4.5475e-13+17988i,1.3642e-12-9851.9i,1.3642e-12+9851.9i,-7.8462e-13,-1.9327e-12-3734.5i,-1.9327e-12+3734.5i
4.4764e-13-52311i,4.4764e-13+52311i,-3.638e-12-37205i,-3.638e-12+37205i,-6.8212e-13-29305i,-6.8212e-13+29305i,-9.0949e-13-19126i,-9.0949e-13+19126i,9.0949e-13-15504i,9.0949e-13+15504i,-1.1407e-13,1.1369e-12-8625.7i,1.1369e-12+8625.7i,7.9581e-13-6100.3i,7.9581e-13+6100.3i
-6.8212e-13-60885i,-6.8212e-13+60885i,-1.1084e-12-36446i,-1.1084e-12+36446i,1.819e-12-30934i,1.819e-12+30934i,1.5001e-12-20170i,1.5001e-12+20170i,-4.5475e-13-15174i,-4.5475e-13+15174i,1.819e-12-11719i,1.819e-12+11719i,-6.7941e-12,0-5812.5i,0+5812.5i
3.4106e-13-62491i,3.4106e-13+62491i,0-45948i,0+45948i,-1.3642e-12-23076i,-1.3642e-12+23076i,4.5475e-12-21121i,4.5475e-12+21121i,-3.2685e-13-18231i,-3.2685e-13+18231i,1.2506e-12-10613i,1.2506e-12+10613i,9.6511e-13,-7.887e-13-1201.2i,-7.887e-13+1201.2i
9.0949e-13-55966i,9.0949e-13+55966i,-9.0949e-13-39402i,-9.0949e-13+39402i,4.5475e-13-26561i,4.5475e-13+26561i,9.0949e-13-16017i,9.0949e-13+16017i,4.5475e-13-13444i,4.5475e-13+13444i,-5.258e-13-7313.1i,-5.258e-13+7313.1i,1.3579e-12,-2.6716e-12-2580.9i,-2.6716e-12+2580.9i
-3.638e-12-1.2423e+05i,-3.638e-12+1.2423e+05i,-4.4338e-12-84844i,-4.4338e-12+84844i,2.7285e-12-55817i,2.7285e-12+55817i,3.1832e-12-46911i,3.1832e-12+46911i,2.0464e-12-19987i,2.0464e-12+19987i,1.08e-12-12477i,1.08e-12+12477i,-2.4391e-12,2.3874e-12-3750.6i,2.3874e-12+3750.6i
-4.2064e-12-91572i,-4.2064e-12+91572i,3.6223e-71-77948i,3.6223e-71+77948i,1.5916e-12-62655i,1.5916e-12+62655i,-3.5243e-12-50427i,-3.5243e-12+50427i,-2.7285e-12-29582i,-2.7285e-12+29582i,5.7881e-12,-4.5475e-13-17291i,-4.5475e-13+17291i,-1.3642e-12-14085i,-1.3642e-12+14085i
1.2506e-12-66502i,1.2506e-12+66502i,-3.638e-12-60175i,-3.638e-12+60175i,4.5475e-13-44283i,4.5475e-13+44283i,-4.5475e-13-35014i,-4.5475e-13+35014i,3.638e-12-24347i,3.638e-12+24347i,-6.8212e-13-15298i,-6.8212e-13+15298i,3.8654e-12-10608i,3.8654e-12+10608i,-1.2358e-12
5.0022e-12-1.3605e+05i,5.0022e-12+1.3605e+05i,-3.4674e-12-1.0952e+05i,-3.4674e-12+1.0952e+05i,3.2969e-12-69846i,3.2969e-12+69846i,-2.2737e-12-38376i,-2.2737e-12+38376i,-3.2074e-12,3.5243e-12-7944.8i,3.5243e-12+7944.8i,-2.7285e-12-21690i,-2.7285e-12+21690i,-1.819e-12-19939i,-1.819e-12+19939i
7.9581e-13-58206i,7.9581e-13+58206i,1.1369e-12-46079i,1.1369e-12+46079i,-2.9559e-12-32402i,-2.9559e-12+32402i,-9.0949e-13-19090i,-9.0949e-13+19090i,4.5475e-13-13745i,4.5475e-13+13745i,2.2737e-13-9332.8i,2.2737e-13+9332.8i,-1.0775e-12,6.8212e-13-2210.8i,6.8212e-13+2210.8i
-5.2296e-12-59413i,-5.2296e-12+59413i,-2.2737e-12-44948i,-2.2737e-12+44948i,1.819e-12-34042i,1.819e-12+34042i,0-27580i,0+27580i,1.819e-12-21878i,1.819e-12+21878i,1.0232e-12-12344i,1.0232e-12+12344i,-1.5399e-12,0-6140.3i,0+6140.3i
