0-9.0978e+07i,0+9.0978e+07i,8.1491e-10-1.6202e+07i,8.1491e-10+1.6202e+07i,9.3132e-10-1.0136e+07i,9.3132e-10+1.0136e+07i,-5.8208e-10-6.2297e+06i,-5.8208e-10+6.2297e+06i,5.8208e-10-4.6233e+06i,5.8208e-10+4.6233e+06i,2.3283e-10-3.1724e+06i,2.3283e-10+3.1724e+06i,-8.7311e-10-1.6661e+06i,-8.7311e-10+1.6661e+06i,-1.4418e-10
0-1.4443e+08i,0+1.4443e+08i,0-4.917e+07i,0+4.917e+07i,0-1.4847e+07i,0+1.4847e+07i,4.9477e-10-8.4673e+06i,4.9477e-10+8.4673e+06i,1.397e-09-5.183e+06i,1.397e-09+5.183e+06i,-5.8208e-10-2.7078e+06i,-5.8208e-10+2.7078e+06i,1.8759e-09,-6.9849e-10-7.177e+05i,-6.9849e-10+7.177e+05i
3.376e-09-1.4343e+08i,3.376e-09+1.4343e+08i,1.397e-09-2.6125e+07i,1.397e-09+2.6125e+07i,-1.8626e-09-1.0379e+07i,-1.8626e-09+1.0379e+07i,-9.3132e-10-5.6566e+06i,-9.3132e-10+5.6566e+06i,1.1642e-10-4.8974e+06i,1.1642e-10+4.8974e+06i,3.4925e-10-3.2183e+06i,3.4925e-10+3.2183e+06i,-4.8021e-10-8.3653e+05i,-4.8021e-10+8.3653e+05i,-3.9481e-11
4.6566e-09-1.3579e+08i,4.6566e-09+1.3579e+08i,1.8626e-09-2.6717e+07i,1.8626e-09+2.6717e+07i,1.1059e-09-1.0216e+07i,1.1059e-09+1.0216e+07i,-9.3132e-10-7.8941e+06i,-9.3132e-10+7.8941e+06i,2.9104e-10-4.2622e+06i,2.9104e-10+4.2622e+06i,-2.3283e-10-2.5968e+06i,-2.3283e-10+2.5968e+06i,6.6238e-11,8.2764e-10-4.9805e+05i,8.2764e-10+4.9805e+05i
-2.9104e-09-8.1322e+07i,-2.9104e-09+8.1322e+07i,-1.9791e-09-1.8166e+07i,-1.9791e-09+1.8166e+07i,0-1.377e+07i,0+1.377e+07i,5.8208e-10-8.2263e+06i,5.8208e-10+8.2263e+06i,1.0477e-09-4.7323e+06i,1.0477e-09+4.7323e+06i,2.0373e-10-2.2919e+06i,2.0373e-10+2.2919e+06i,-1.5313e-09,-6.6893e-10-9.2031e+05i,-6.6893e-10+9.2031e+05i
2.1246e-09-5.3361e+07i,2.1246e-09+5.3361e+07i,1.7462e-09-1.8323e+07i,1.7462e-09+1.8323e+07i,-4.3656e-10-1.0242e+07i,-4.3656e-10+1.0242e+07i,1.7462e-10-6.0077e+06i,1.7462e-10+6.0077e+06i,-3.4925e-10-3.9014e+06i,-3.4925e-10+3.9014e+06i,-5.3842e-10-2.4459e+06i,-5.3842e-10+2.4459e+06i,2.0791e-09,1.0186e-10-1.4848e+05i,1.0186e-10+1.4848e+05i
-1.397e-09-4.7003e+07i,-1.397e-09+4.7003e+07i,-5.5638e-68-2.2439e+07i,-5.5638e-68+2.2439e+07i,0-1.1616e+07i,0+1.1616e+07i,6.9849e-10-9.4483e+06i,6.9849e-10+9.4483e+06i,-6.9849e-10-3.3734e+06i,-6.9849e-10+3.3734e+06i,1.2224e-09-9.4987e+05i,1.2224e-09+9.4987e+05i,-2.7282e-10,1.819e-12-1.7484e+05i,1.819e-12+1.7484e+05i
0-1.0595e+08i,0+1.0595e+08i,1.0477e-09-4.8105e+07i,1.0477e-09+4.8105e+07i,2.3283e-10-3.1163e+07i,2.3283e-10+3.1163e+07i,-2.0955e-09-2.1997e+07i,-2.0955e-09+2.1997e+07i,-9.3132e-10-6.0116e+06i,-9.3132e-10+6.0116e+06i,-4.6566e-10-1.8106e+06i,-4.6566e-10+1.8106e+06i,1.0259e-09-2.4293e+05i,1.0259e-09+2.4293e+05i,2.848e-09
9.3132e-10-7.1558e+07i,9.3132e-10+7.1558e+07i,-9.273e-69-5.1894e+07i,-9.273e-69+5.1894e+07i,2.8151e-86-3.5897e+07i,2.8151e-86+3.5897e+07i,-9.6043e-10-1.6289e+07i,-9.6043e-10+1.6289e+07i,-4.6566e-10-5.485e+06i,-4.6566e-10+5.485e+06i,-2.2119e-09-1.6992e+06i,-2.2119e-09+1.6992e+06i,1.819e-10-2.4906e+05i,1.819e-10+2.4906e+05i,7.2222e-10
-4.3656e-10-5.379e+07i,-4.3656e-10+5.379e+07i,0-3.2193e+07i,0+3.2193e+07i,8.7311e-10-1.7896e+07i,8.7311e-10+1.7896e+07i,-1.7462e-10-7.245e+06i,-1.7462e-10+7.245e+06i,-1.1642e-10-3.3667e+06i,-1.1642e-10+3.3667e+06i,1.0477e-09-1.3855e+06i,1.0477e-09+1.3855e+06i,-3.4744e-10,2.9013e-10-1.8332e+05i,2.9013e-10+1.8332e+05i
8.5129e-10-6.515e+07i,8.5129e-10+6.515e+07i,-7.8921e-42-3.9305e+07i,-7.8921e-42+3.9305e+07i,-1.0477e-09-2.0474e+07i,-1.0477e-09+2.0474e+07i,6.4028e-10-8.1162e+06i,6.4028e-10+8.1162e+06i,1.1642e-10-3.4371e+06i,1.1642e-10+3.4371e+06i,-8.7311e-10-1.9866e+06i,-8.7311e-10+1.9866e+06i,5.8208e-11-8.6211e+05i,5.8208e-11+8.6211e+05i,6.1612e-10
-5.8208e-10-6.8479e+07i,-5.8208e-10+6.8479e+07i,1.8626e-09-3.2266e+07i,1.8626e-09+3.2266e+07i,-3.5873e-43-1.6308e+07i,-3.5873e-43+1.6308e+07i,-5.8208e-11-7.959e+06i,-5.8208e-11+7.959e+06i,1.3097e-10-3.4039e+06i,1.3097e-10+3.4039e+06i,1.0477e-09-2.422e+06i,1.0477e-09+2.422e+06i,-1.7462e-10-4.6918e+05i,-1.7462e-10+4.6918e+05i,-6.913e-10
4.5475e-13-5.6339e+05i,4.5475e-13+5.6339e+05i,0-2.4659e+05i,0+2.4659e+05i,4.0927e-12-1.3565e+05i,4.0927e-12+1.3565e+05i,-1.819e-12-66703i,-1.819e-12+66703i,9.7771e-12-49376i,9.7771e-12+49376i,4.0927e-12-15677i,4.0927e-12+15677i,-3.1803e-12,4.3769e-12-7452.6i,4.3769e-12+7452.6i
3.638e-12-3.0754e+05i,3.638e-12+3.0754e+05i,-1.5461e-11-1.8862e+05i,-1.5461e-11+1.8862e+05i,-3.8654e-12-77734i,-3.8654e-12+77734i,7.276e-12-65254i,7.276e-12+65254i,-4.0927e-12-29007i,-4.0927e-12+29007i,-4.5475e-12-14296i,-4.5475e-12+14296i,-1.3358e-12-3460.2i,-1.3358e-12+3460.2i,7.3187e-12
-9.0949e-13-2.7559e+05i,-9.0949e-13+2.7559e+05i,-3.9619e-72-1.3642e+05i,-3.9619e-72+1.3642e+05i,-1.5461e-11-87862i,-1.5461e-11+87862i,-4.4054e-12-43320i,-4.4054e-12+43320i,2.5011e-12-30695i,2.5011e-12+30695i,4.5475e-13-16357i,4.5475e-13+16357i,1.2675e-12,-1.3642e-12-11030i,-1.3642e-12+11030i
-1.5064e-12-1.0795e+05i,-1.5064e-12+1.0795e+05i,-1.2506e-12-73431i,-1.2506e-12+73431i,-9.0949e-13-26639i,-9.0949e-13+26639i,-5.4001e-13-9792.7i,-5.4001e-13+9792.7i,-7.1054e-13-7415.3i,-7.1054e-13+7415.3i,-1.3642e-12-3882.9i,-1.3642e-12+3882.9i,-8.8463e-13-642.78i,-8.8463e-13+642.78i,-6.4456e-13
-1.1369e-13-2.3916e+05i,-1.1369e-13+2.3916e+05i,9.0949e-13-1.1825e+05i,9.0949e-13+1.1825e+05i,-3.5243e-12-86768i,-3.5243e-12+86768i,4.0927e-12-46901i,4.0927e-12+46901i,4.7748e-12-27493i,4.7748e-12+27493i,-4.5475e-13-19686i,-4.5475e-13+19686i,1.9327e-12-6216.8i,1.9327e-12+6216.8i,2.1737e-12
-9.0949e-12-3.4846e+05i,-9.0949e-12+3.4846e+05i,9.0949e-13-1.0567e+05i,9.0949e-13+1.0567e+05i,6.8212e-12-75276i,6.8212e-12+75276i,-3.638e-12-46294i,-3.638e-12+46294i,4.5475e-12-18668i,4.5475e-12+18668i,1.819e-12-13034i,1.819e-12+13034i,-4.5475e-13-5012.7i,-4.5475e-13+5012.7i,-2.7581e-12
-8.1491e-10-4.5121e+07i,-8.1491e-10+4.5121e+07i,1.2224e-09-1.9573e+07i,1.2224e-09+1.9573e+07i,-1.6007e-10-7.4466e+06i,-1.6007e-10+7.4466e+06i,-4.6566e-10-6.5143e+06i,-4.6566e-10+6.5143e+06i,-3.2014e-10-2.6208e+06i,-3.2014e-10+2.6208e+06i,-8.7311e-11-1.8499e+06i,-8.7311e-11+1.8499e+06i,-7.9333e-10,1.2369e-10-1.9732e+05i,1.2369e-10+1.9732e+05i
