2.9802e-08-1.8634e+08i,2.9802e-08+1.8634e+08i,-7.4506e-09-1.1161e+08i,-7.4506e-09+1.1161e+08i,1.8626e-09-2.0351e+07i,1.8626e-09+2.0351e+07i,-5.3551e-09-1.1724e+07i,-5.3551e-09+1.1724e+07i,4.6566e-10-8.7912e+06i,4.6566e-10+8.7912e+06i,4.4238e-09-6.0943e+06i,4.4238e-09+6.0943e+06i,-8.1491e-10-3.5469e+06i,-8.1491e-10+3.5469e+06i,2.9104e-10-1.6572e+06i,2.9104e-10+1.6572e+06i,1.4843e-09-9.8312e+05i,1.4843e-09+9.8312e+05i,-6.6211e-10-6.5676e+05i,-6.6211e-10+6.5676e+05i,2.8376e-10-1.5385e+05i,2.8376e-10+1.5385e+05i,1.4415e-10-14193i,1.4415e-10+14193i
1.8626e-09-1.9557e+08i,1.8626e-09+1.9557e+08i,4.191e-09-8.525e+07i,4.191e-09+8.525e+07i,6.9849e-10-2.1749e+07i,6.9849e-10+2.1749e+07i,9.3132e-10-1.0415e+07i,9.3132e-10+1.0415e+07i,1.5134e-09-6.4291e+06i,1.5134e-09+6.4291e+06i,5.2387e-10-5.3401e+06i,5.2387e-10+5.3401e+06i,-1.1642e-09-3.3336e+06i,-1.1642e-09+3.3336e+06i,3.4925e-10-2.0743e+06i,3.4925e-10+2.0743e+06i,-4.8021e-10-8.1862e+05i,-4.8021e-10+8.1862e+05i,7.276e-11-5.3617e+05i,7.276e-11+5.3617e+05i,1.8736e-10-2.0598e+05i,1.8736e-10+2.0598e+05i,-2.6557e-10-25441i,-2.6557e-10+25441i
9.3132e-09-1.7336e+08i,9.3132e-09+1.7336e+08i,7.858e-10-7.624e+07i,7.858e-10+7.624e+07i,-1.8626e-09-2.2935e+07i,-1.8626e-09+2.2935e+07i,1.7462e-10-7.6238e+06i,1.7462e-10+7.6238e+06i,-4.6566e-10-6.5518e+06i,-4.6566e-10+6.5518e+06i,-5.8208e-10-4.3513e+06i,-5.8208e-10+4.3513e+06i,-9.7498e-10-2.6793e+06i,-9.7498e-10+2.6793e+06i,-1.6953e-09-1.2334e+06i,-1.6953e-09+1.2334e+06i,-1.5134e-09-7.2282e+05i,-1.5134e-09+7.2282e+05i,-2.3865e-09-5.6622e+05i,-2.3865e-09+5.6622e+05i,6.1846e-11-1.4751e+05i,6.1846e-11+1.4751e+05i,-1.5245e-10-9720.5i,-1.5245e-10+9720.5i
1.397e-09-5.4754e+07i,1.397e-09+5.4754e+07i,1.3679e-09-1.8119e+07i,1.3679e-09+1.8119e+07i,-1.8626e-09-1.1727e+07i,-1.8626e-09+1.1727e+07i,2.3283e-10-6.7723e+06i,2.3283e-10+6.7723e+06i,1.4552e-10-3.954e+06i,1.4552e-10+3.954e+06i,-5.2387e-10-2.7322e+06i,-5.2387e-10+2.7322e+06i,-8.1491e-10-1.4367e+06i,-8.1491e-10+1.4367e+06i,-1.0768e-09-8.4929e+05i,-1.0768e-09+8.4929e+05i,7.276e-11-4.102e+05i,7.276e-11+4.102e+05i,-3.0559e-10-3.3903e+05i,-3.0559e-10+3.3903e+05i,5.457e-12-97874i,5.457e-12+97874i,-3.4379e-10-37847i,-3.4379e-10+37847i
-1.6444e-09-3.9756e+07i,-1.6444e-09+3.9756e+07i,0-2.3786e+07i,0+2.3786e+07i,1.1642e-10-8.281e+06i,1.1642e-10+8.281e+06i,-4.6566e-10-6.6877e+06i,-4.6566e-10+6.6877e+06i,-2.6193e-10-3.4263e+06i,-2.6193e-10+3.4263e+06i,4.8021e-10-1.9388e+06i,4.8021e-10+1.9388e+06i,3.6016e-10-1.2097e+06i,3.6016e-10+1.2097e+06i,-6.1118e-10-1.0411e+06i,-6.1118e-10+1.0411e+06i,9.4587e-11-2.1429e+05i,9.4587e-11+2.1429e+05i,2.8922e-10-1.1694e+05i,2.8922e-10+1.1694e+05i,2.4284e-10-67193i,2.4284e-10+67193i,-1.8235e-10-16909i,-1.8235e-10+16909i
-1.3388e-09-6.5678e+07i,-1.3388e-09+6.5678e+07i,-2.794e-09-3.7787e+07i,-2.794e-09+3.7787e+07i,-5.5297e-10-1.0339e+07i,-5.5297e-10+1.0339e+07i,4.0745e-10-7.5413e+06i,4.0745e-10+7.5413e+06i,2.4374e-10-4.3899e+06i,2.4374e-10+4.3899e+06i,1.7462e-10-3.0043e+06i,1.7462e-10+3.0043e+06i,1.0768e-09-2.1843e+06i,1.0768e-09+2.1843e+06i,-9.0222e-10-8.4081e+05i,-9.0222e-10+8.4081e+05i,5.5297e-10-5.0447e+05i,5.5297e-10+5.0447e+05i,-2.9104e-10-2.7502e+05i,-2.9104e-10+2.7502e+05i,-1.5007e-11-1.0881e+05i,-1.5007e-11+1.0881e+05i,-3.8381e-10-33867i,-3.8381e-10+33867i
1.2107e-08-1.2684e+08i,1.2107e-08+1.2684e+08i,0-6.9839e+07i,0+6.9839e+07i,0-2.0048e+07i,0+2.0048e+07i,2.0518e-09-1.188e+07i,2.0518e-09+1.188e+07i,-5.8208e-11-7.5651e+06i,-5.8208e-11+7.5651e+06i,0-4.947e+06i,0+4.947e+06i,1.0477e-09-3.0837e+06i,1.0477e-09+3.0837e+06i,-3.2378e-10-1.1841e+06i,-3.2378e-10+1.1841e+06i,-7.567e-10-8.1557e+05i,-7.567e-10+8.1557e+05i,3.2014e-10-5.3349e+05i,3.2014e-10+5.3349e+05i,4.3656e-11-3.42e+05i,4.3656e-11+3.42e+05i,-2.3829e-10-43404i,-2.3829e-10+43404i
5.5879e-09-1.4691e+08i,5.5879e-09+1.4691e+08i,7.9453e-09-9.5017e+07i,7.9453e-09+9.5017e+07i,-8.7311e-10-2.5408e+07i,-8.7311e-10+2.5408e+07i,-1.6298e-09-9.9405e+06i,-1.6298e-09+9.9405e+06i,-9.3132e-10-7.8762e+06i,-9.3132e-10+7.8762e+06i,-1.2919e-09-5.2014e+06i,-1.2919e-09+5.2014e+06i,3.4925e-10-2.821e+06i,3.4925e-10+2.821e+06i,5.5297e-10-1.6178e+06i,5.5297e-10+1.6178e+06i,-1.7462e-10-8.3726e+05i,-1.7462e-10+8.3726e+05i,-1.1132e-09-6.5103e+05i,-1.1132e-09+6.5103e+05i,2.4102e-10-1.9771e+05i,2.4102e-10+1.9771e+05i,2.068e-10-8287.3i,2.068e-10+8287.3i
6.9849e-09-1.8268e+08i,6.9849e-09+1.8268e+08i,-1.4901e-08-1.1537e+08i,-1.4901e-08+1.1537e+08i,5.8208e-10-2.1853e+07i,5.8208e-10+2.1853e+07i,8.964e-09-1.1418e+07i,8.964e-09+1.1418e+07i,2.8522e-09-9.2933e+06i,2.8522e-09+9.2933e+06i,2.6776e-09-6.5398e+06i,2.6776e-09+6.5398e+06i,-1.4843e-09-3.8334e+06i,-1.4843e-09+3.8334e+06i,-4.6566e-10-1.8253e+06i,-4.6566e-10+1.8253e+06i,1.5862e-09-9.2008e+05i,1.5862e-09+9.2008e+05i,-5.6752e-10-5.2768e+05i,-5.6752e-10+5.2768e+05i,1.0987e-09-1.4945e+05i,1.0987e-09+1.4945e+05i,5.7753e-11-32123i,5.7753e-11+32123i
-2.0489e-08-1.9053e+08i,-2.0489e-08+1.9053e+08i,3.3178e-09-7.8969e+07i,3.3178e-09+7.8969e+07i,9.3132e-10-2.0713e+07i,9.3132e-10+2.0713e+07i,7.567e-10-1.0421e+07i,7.567e-10+1.0421e+07i,-1.397e-09-7.0614e+06i,-1.397e-09+7.0614e+06i,3.0559e-10-5.5418e+06i,3.0559e-10+5.5418e+06i,3.4925e-10-3.0437e+06i,3.4925e-10+3.0437e+06i,1.688e-09-1.8855e+06i,1.688e-09+1.8855e+06i,7.276e-10-8.5653e+05i,7.276e-10+8.5653e+05i,5.3842e-10-5.9704e+05i,5.3842e-10+5.9704e+05i,1.7099e-10-2.0193e+05i,1.7099e-10+2.0193e+05i,-3.1127e-10-11518i,-3.1127e-10+11518i
7.4506e-09-2.0431e+08i,7.4506e-09+2.0431e+08i,9.3132e-09-9.3849e+07i,9.3132e-09+9.3849e+07i,-1.688e-09-2.2518e+07i,-1.688e-09+2.2518e+07i,-1.95e-09-9.6093e+06i,-1.95e-09+9.6093e+06i,1.8626e-09-6.9455e+06i,1.8626e-09+6.9455e+06i,-8.1491e-10-5.5156e+06i,-8.1491e-10+5.5156e+06i,-1.3024e-09-3.2665e+06i,-1.3024e-09+3.2665e+06i,-2.0955e-09-1.8103e+06i,-2.0955e-09+1.8103e+06i,1.7462e-10-7.7128e+05i,1.7462e-10+7.7128e+05i,5.6752e-10-4.9018e+05i,5.6752e-10+4.9018e+05i,-4.8385e-10-1.3012e+05i,-4.8385e-10+1.3012e+05i,2.6009e-10-1704.3i,2.6009e-10+1704.3i
