7.3896e-12-1.1381e+05i,7.3896e-12+1.1381e+05i,-3.638e-12-76546i,-3.638e-12+76546i,0-42533i,0+42533i,7.9581e-13-18188i,7.9581e-13+18188i,2.2737e-13-11741i,2.2737e-13+11741i,-2.4869e-12-8187.6i,-2.4869e-12+8187.6i,1.7053e-13-3966.4i,1.7053e-13+3966.4i,1.2079e-13-226.39i,1.2079e-13+226.39i
0-1.584e+05i,0+1.584e+05i,0-1.0354e+05i,0+1.0354e+05i,-5.457e-12-37653i,-5.457e-12+37653i,3.638e-12-21251i,3.638e-12+21251i,-3.4106e-12-17936i,-3.4106e-12+17936i,0-5006i,0+5006i,2.2737e-13-3831.6i,2.2737e-13+3831.6i,5.2225e-12-273.21i,5.2225e-12+273.21i
-3.1832e-12-1.2723e+05i,-3.1832e-12+1.2723e+05i,0-87140i,0+87140i,0-42922i,0+42922i,1.3642e-12-16685i,1.3642e-12+16685i,-1.5916e-12-15170i,-1.5916e-12+15170i,2.1032e-12-6323.8i,2.1032e-12+6323.8i,-1.1369e-12-3917.9i,-1.1369e-12+3917.9i,-7.2475e-13-11.129i,-7.2475e-13+11.129i
-1.0459e-11-1.2824e+05i,-1.0459e-11+1.2824e+05i,-1.3642e-12-71983i,-1.3642e-12+71983i,4.0359e-12-35932i,4.0359e-12+35932i,1.3642e-12-18084i,1.3642e-12+18084i,1.9895e-12-14027i,1.9895e-12+14027i,4.5475e-13-7613.3i,4.5475e-13+7613.3i,-9.9476e-13-2716.1i,-9.9476e-13+2716.1i,7.3896e-13-1473.6i,7.3896e-13+1473.6i
-6.3665e-12-1.88e+05i,-6.3665e-12+1.88e+05i,-7.276e-12-1.149e+05i,-7.276e-12+1.149e+05i,4.5475e-13-69991i,4.5475e-13+69991i,-2.7285e-12-31263i,-2.7285e-12+31263i,3.0695e-12-17574i,3.0695e-12+17574i,-6.8212e-13-9335.8i,-6.8212e-13+9335.8i,9.0949e-13-3848.5i,9.0949e-13+3848.5i,-2.1316e-12-2965.7i,-2.1316e-12+2965.7i
2.1828e-11-3.7032e+05i,2.1828e-11+3.7032e+05i,-1.8872e-11-1.465e+05i,-1.8872e-11+1.465e+05i,-1.4552e-11-95144i,-1.4552e-11+95144i,8.1855e-12-28508i,8.1855e-12+28508i,-1.819e-12-18696i,-1.819e-12+18696i,7.276e-12-12067i,7.276e-12+12067i,5.6275e-12-7604.4i,5.6275e-12+7604.4i,-3.4959e-12-2123.5i,-3.4959e-12+2123.5i
-1.9611e-12-1.4592e+05i,-1.9611e-12+1.4592e+05i,-4.0927e-12-97401i,-4.0927e-12+97401i,-3.6948e-12-34156i,-3.6948e-12+34156i,4.0927e-12-19917i,4.0927e-12+19917i,3.1832e-12-12155i,3.1832e-12+12155i,5.6843e-13-7412.7i,5.6843e-13+7412.7i,3.9933e-12-480.24i,3.9933e-12+480.24i,-9.3792e-13-2230.2i,-9.3792e-13+2230.2i
-1.2506e-12-1.1351e+05i,-1.2506e-12+1.1351e+05i,-5.3061e-74-1.0065e+05i,-5.3061e-74+1.0065e+05i,3.638e-12-30061i,3.638e-12+30061i,1.819e-12-19093i,1.819e-12+19093i,-3.8654e-12-14902i,-3.8654e-12+14902i,-6.8212e-12-9433.3i,-6.8212e-12+9433.3i,1.2506e-12-4722.3i,1.2506e-12+4722.3i,1.5965e-13-5.2571i,1.5965e-13+5.2571i
5.457e-12-1.2749e+05i,5.457e-12+1.2749e+05i,4.5542e-45-77475i,4.5542e-45+77475i,9.0949e-13-29778i,9.0949e-13+29778i,-2.0464e-12-21734i,-2.0464e-12+21734i,8.2423e-13-12948i,8.2423e-13+12948i,-1.819e-12-8374.2i,-1.819e-12+8374.2i,7.9581e-13-3461.6i,7.9581e-13+3461.6i,1.1369e-13-1437.6i,1.1369e-13+1437.6i
5.6275e-12-1.1591e+05i,5.6275e-12+1.1591e+05i,-5.457e-12-87477i,-5.457e-12+87477i,-2.7285e-12-32225i,-2.7285e-12+32225i,-9.0949e-13-21433i,-9.0949e-13+21433i,-6.8212e-13-12296i,-6.8212e-13+12296i,-1.9327e-12-10668i,-1.9327e-12+10668i,1.3642e-12-3518.9i,1.3642e-12+3518.9i,-3.7943e-12-808.96i,-3.7943e-12+808.96i
1.9099e-11-3.1425e+05i,1.9099e-11+3.1425e+05i,-1.171e-11-1.7759e+05i,-1.171e-11+1.7759e+05i,-1.4779e-12-47477i,-1.4779e-12+47477i,0-34034i,0+34034i,-3.638e-12-13555i,-3.638e-12+13555i,5.0022e-12-8374.4i,5.0022e-12+8374.4i,9.0949e-13-5457.5i,9.0949e-13+5457.5i,-1.5348e-12-1049i,-1.5348e-12+1049i
