2.7285e-12-73814i,2.7285e-12+73814i,-1.1369e-13-41217i,-1.1369e-13+41217i,0-30586i,0+30586i,4.5475e-13-24637i,4.5475e-13+24637i,0-19498i,0+19498i,-1.1369e-12-9133.7i,-1.1369e-12+9133.7i,2.3874e-12-5392.9i,2.3874e-12+5392.9i,1.1369e-13-1353.5i,1.1369e-13+1353.5i
-6.8212e-13-69245i,-6.8212e-13+69245i,1.5916e-12-40692i,1.5916e-12+40692i,-1.9327e-12-31627i,-1.9327e-12+31627i,1.1369e-12-24896i,1.1369e-12+24896i,-7.9581e-13-22836i,-7.9581e-13+22836i,6.8212e-13-10580i,6.8212e-13+10580i,1.1369e-12-763.9i,1.1369e-12+763.9i,-1.4779e-12-2373.1i,-1.4779e-12+2373.1i
-3.4106e-12-64263i,-3.4106e-12+64263i,1.3642e-12-42162i,1.3642e-12+42162i,2.2737e-13-32276i,2.2737e-13+32276i,-1.3642e-12-24852i,-1.3642e-12+24852i,0-16280i,0+16280i,-2.2737e-13-11372i,-2.2737e-13+11372i,3.1832e-12-3920.9i,3.1832e-12+3920.9i,0-6264.5i,0+6264.5i
2.2453e-12-53899i,2.2453e-12+53899i,0-34313i,0+34313i,7.3896e-13-30247i,7.3896e-13+30247i,-2.2737e-12-19447i,-2.2737e-12+19447i,1.819e-12-16836i,1.819e-12+16836i,-9.0949e-13-10582i,-9.0949e-13+10582i,7.9581e-13-4937.9i,7.9581e-13+4937.9i,4.1211e-13-686.61i,4.1211e-13+686.61i
1.819e-12-70115i,1.819e-12+70115i,7.6739e-13-37161i,7.6739e-13+37161i,-6.2528e-13-32005i,-6.2528e-13+32005i,3.1832e-12-25145i,3.1832e-12+25145i,1.3642e-12-18688i,1.3642e-12+18688i,1.1369e-12-9609.2i,1.1369e-12+9609.2i,-1.5064e-12-4420.2i,-1.5064e-12+4420.2i,-3.979e-13-2674.2i,-3.979e-13+2674.2i
8.5265e-13-67616i,8.5265e-13+67616i,-1.3074e-12-45829i,-1.3074e-12+45829i,1.819e-12-36631i,1.819e-12+36631i,2.7285e-12-30021i,2.7285e-12+30021i,-1.3642e-12-14392i,-1.3642e-12+14392i,-3.3893e-12-2523.5i,-3.3893e-12+2523.5i,-2.2737e-13-8069.3i,-2.2737e-13+8069.3i,0-11301i,0+11301i
5.457e-12-91952i,5.457e-12+91952i,3.638e-12-62546i,3.638e-12+62546i,1.819e-12-35406i,1.819e-12+35406i,-2.0464e-12-25711i,-2.0464e-12+25711i,-9.6634e-13-16037i,-9.6634e-13+16037i,0-10067i,0+10067i,-3.4106e-13-1006i,-3.4106e-13+1006i,1.9327e-12-3151.9i,1.9327e-12+3151.9i
-2.7285e-12-85384i,-2.7285e-12+85384i,2.8422e-13-51047i,2.8422e-13+51047i,-1.1369e-13-29829i,-1.1369e-13+29829i,3.8654e-12-22885i,3.8654e-12+22885i,7.9581e-13-16395i,7.9581e-13+16395i,5.9686e-13-11438i,5.9686e-13+11438i,-2.2737e-13-5890.5i,-2.2737e-13+5890.5i,7.9581e-13-1566.9i,7.9581e-13+1566.9i
-9.0949e-13-50810i,-9.0949e-13+50810i,5.4712e-13-44070i,5.4712e-13+44070i,2.2737e-13-33596i,2.2737e-13+33596i,1.3642e-12-25288i,1.3642e-12+25288i,9.0949e-13-14874i,9.0949e-13+14874i,8.5265e-13-11768i,8.5265e-13+11768i,-4.5475e-13-1557.7i,-4.5475e-13+1557.7i,-2.899e-12-6073.3i,-2.899e-12+6073.3i
-7.4287e-12-83710i,-7.4287e-12+83710i,1.5395e-48-72069i,1.5395e-48+72069i,1.819e-12-57226i,1.819e-12+57226i,5.457e-12-48704i,5.457e-12+48704i,0-29591i,0+29591i,-2.5011e-12-3211.9i,-2.5011e-12+3211.9i,-1.3642e-12-14902i,-1.3642e-12+14902i,-2.7285e-12-11825i,-2.7285e-12+11825i
-7.276e-12-74644i,-7.276e-12+74644i,1.35e-13-54072i,1.35e-13+54072i,2.8422e-12-38949i,2.8422e-12+38949i,3.4106e-13-31482i,3.4106e-13+31482i,-1.1369e-13-18044i,-1.1369e-13+18044i,4.5475e-13-6617.4i,4.5475e-13+6617.4i,-1.9327e-12-3306i,-1.9327e-12+3306i,-5.8265e-13-489.64i,-5.8265e-13+489.64i
