-8.7311e-11-1.1803e+06i,-8.7311e-11+1.1803e+06i,1.4552e-11-6.0048e+05i,1.4552e-11+6.0048e+05i,2.7285e-12-2.1684e+05i,2.7285e-12+2.1684e+05i,2.7285e-12-1.1882e+05i,2.7285e-12+1.1882e+05i,-2.7285e-12-41792i,-2.7285e-12+41792i,-9.8339e-12-11895i,-9.8339e-12+11895i,5.0022e-12-10022i,5.0022e-12+10022i,1.9071e-11-2951.2i,1.9071e-11+2951.2i
0-8.696e+05i,0+8.696e+05i,0-6.3657e+05i,0+6.3657e+05i,-1.3642e-11-2.0338e+05i,-1.3642e-11+2.0338e+05i,-9.0949e-12-1.3465e+05i,-9.0949e-12+1.3465e+05i,-9.0949e-12-47762i,-9.0949e-12+47762i,0-11731i,0+11731i,-1.1823e-11-6377.7i,-1.1823e-11+6377.7i,4.5475e-13-1698.3i,4.5475e-13+1698.3i
8.7311e-11-1.7809e+06i,8.7311e-11+1.7809e+06i,-3.2742e-11-5.6775e+05i,-3.2742e-11+5.6775e+05i,1.3642e-11-1.4276e+05i,1.3642e-11+1.4276e+05i,2.5466e-11-67435i,2.5466e-11+67435i,2.6375e-11-42405i,2.6375e-11+42405i,2.7285e-12-16218i,2.7285e-12+16218i,-1.9099e-11-6704.2i,-1.9099e-11+6704.2i,8.5816e-12-88.657i,8.5816e-12+88.657i
0-1.5923e+06i,0+1.5923e+06i,2.9104e-11-5.1374e+05i,2.9104e-11+5.1374e+05i,4.0018e-11-1.3999e+05i,4.0018e-11+1.3999e+05i,-1.819e-12-68449i,-1.819e-12+68449i,0-31188i,0+31188i,-2.2737e-12-16279i,-2.2737e-12+16279i,-2.8422e-12-4355.9i,-2.8422e-12+4355.9i,6.4801e-12-1271.7i,6.4801e-12+1271.7i
7.8217e-11-1.4645e+06i,7.8217e-11+1.4645e+06i,0-5.0043e+05i,0+5.0043e+05i,-2.7285e-11-1.1426e+05i,-2.7285e-11+1.1426e+05i,-3.638e-11-78644i,-3.638e-11+78644i,1.3642e-11-34629i,1.3642e-11+34629i,-4.5475e-12-17175i,-4.5475e-12+17175i,2.0918e-11-6442i,2.0918e-11+6442i,-1.6827e-11-56.975i,-1.6827e-11+56.975i
-6.5484e-11-1.0612e+06i,-6.5484e-11+1.0612e+06i,6.3665e-12-4.6891e+05i,6.3665e-12+4.6891e+05i,2.0009e-11-1.8341e+05i,2.0009e-11+1.8341e+05i,-3.638e-12-93770i,-3.638e-12+93770i,-6.3665e-12-38461i,-6.3665e-12+38461i,-1.4552e-11-12129i,-1.4552e-11+12129i,-1.2903e-11-8856.3i,-1.2903e-11+8856.3i,-2.8422e-12-2268.8i,-2.8422e-12+2268.8i
3.4106e-13-66615i,3.4106e-13+66615i,-2.0464e-12-30992i,-2.0464e-12+30992i,1.819e-12-18338i,1.819e-12+18338i,-7.3896e-13-7720i,-7.3896e-13+7720i,2.2737e-13-5484.9i,2.2737e-13+5484.9i,-4.5475e-13-2763i,-4.5475e-13+2763i,1.5348e-12-1351.7i,1.5348e-12+1351.7i,-7.7094e-13-91.887i,-7.7094e-13+91.887i
0-56982i,0+56982i,3.979e-13-25199i,3.979e-13+25199i,-1.1369e-13-12609i,-1.1369e-13+12609i,9.0949e-13-4630.7i,9.0949e-13+4630.7i,1.1369e-12-3770.7i,1.1369e-12+3770.7i,5.6843e-14-2250.1i,5.6843e-14+2250.1i,-6.537e-13-732.44i,-6.537e-13+732.44i,-2.9132e-13-51.938i,-2.9132e-13+51.938i
1.0914e-11-9.2403e+05i,1.0914e-11+9.2403e+05i,3.638e-12-3.8086e+05i,3.638e-12+3.8086e+05i,2.0464e-11-1.6331e+05i,2.0464e-11+1.6331e+05i,5.457e-12-80117i,5.457e-12+80117i,-7.276e-12-59759i,-7.276e-12+59759i,5.457e-12-27662i,5.457e-12+27662i,1.0232e-12-14527i,1.0232e-12+14527i,-3.7517e-12-2046.8i,-3.7517e-12+2046.8i
1.7735e-11-8.4125e+05i,1.7735e-11+8.4125e+05i,5.457e-11-5.1788e+05i,5.457e-11+5.1788e+05i,-1.819e-11-2.9482e+05i,-1.819e-11+2.9482e+05i,9.8908e-12-1.4966e+05i,9.8908e-12+1.4966e+05i,1.9554e-11-70938i,1.9554e-11+70938i,-9.0949e-12-18039i,-9.0949e-12+18039i,9.0949e-13-12940i,9.0949e-13+12940i,-5.1621e-12-707.49i,-5.1621e-12+707.49i
3.8199e-11-1.113e+06i,3.8199e-11+1.113e+06i,-1.0914e-11-6.5216e+05i,-1.0914e-11+6.5216e+05i,1.3415e-11-2.0348e+05i,1.3415e-11+2.0348e+05i,6.3665e-12-1.2146e+05i,6.3665e-12+1.2146e+05i,-6.1846e-11-78550i,-6.1846e-11+78550i,1.3642e-11-21748i,1.3642e-11+21748i,5.9117e-12-14103i,5.9117e-12+14103i,-1.495e-11-1527.7i,-1.495e-11+1527.7i
