-1.1369e-12-85164i,-1.1369e-12+85164i,-1.2235e-54-68823i,-1.2235e-54+68823i,-6.8212e-13-45716i,-6.8212e-13+45716i,0-31241i,0+31241i,9.0949e-13-20396i,9.0949e-13+20396i,6.8212e-13-12568i,6.8212e-13+12568i,9.0949e-13-6305i,9.0949e-13+6305i,2.9919e-12
6.8212e-13-91783i,6.8212e-13+91783i,1.3642e-12-61246i,1.3642e-12+61246i,0-46316i,0+46316i,-1.819e-12-28331i,-1.819e-12+28331i,-1.1369e-12-21563i,-1.1369e-12+21563i,2.7285e-12-10445i,2.7285e-12+10445i,-1.6098e-12,1.1369e-13-5884.3i,1.1369e-13+5884.3i
7.9581e-13-72033i,7.9581e-13+72033i,-1.819e-12-48119i,-1.819e-12+48119i,2.2737e-12-38385i,2.2737e-12+38385i,1.4779e-12-28053i,1.4779e-12+28053i,-1.819e-12-21257i,-1.819e-12+21257i,-1.1369e-12-9834.9i,-1.1369e-12+9834.9i,-9.0949e-13-4764.1i,-9.0949e-13+4764.1i,2.3084e-12
-1.5916e-12-61390i,-1.5916e-12+61390i,2.2737e-13-47961i,2.2737e-13+47961i,-1.7053e-12-40138i,-1.7053e-12+40138i,-4.5475e-13-31462i,-4.5475e-13+31462i,5.8265e-13-20286i,5.8265e-13+20286i,-2.5011e-12-10927i,-2.5011e-12+10927i,-1.8474e-13-4956.1i,-1.8474e-13+4956.1i,2.3719e-12
2.7285e-12-71427i,2.7285e-12+71427i,9.0949e-13-54650i,9.0949e-13+54650i,-3.6948e-13-41555i,-3.6948e-13+41555i,2.7285e-12-31942i,2.7285e-12+31942i,1.5916e-12-18818i,1.5916e-12+18818i,-3.1832e-12-11845i,-3.1832e-12+11845i,-3.6242e-13,1.1369e-12-6334.5i,1.1369e-12+6334.5i
-3.6948e-13-1.4111e+05i,-3.6948e-13+1.4111e+05i,3.4106e-12-1.0024e+05i,3.4106e-12+1.0024e+05i,3.638e-12-46150i,3.638e-12+46150i,4.2633e-12-37553i,4.2633e-12+37553i,0-31222i,0+31222i,-3.638e-12-23734i,-3.638e-12+23734i,-5.7957e-12,1.819e-12-6431i,1.819e-12+6431i
1.7053e-13-93053i,1.7053e-13+93053i,-5.6843e-13-65537i,-5.6843e-13+65537i,1.6485e-12-51684i,1.6485e-12+51684i,-1.3642e-12-32338i,-1.3642e-12+32338i,-1.3642e-12-17689i,-1.3642e-12+17689i,-6.0019e-12,3.1832e-12-15042i,3.1832e-12+15042i,-5.6843e-13-9321.2i,-5.6843e-13+9321.2i
-2.7853e-12-59212i,-2.7853e-12+59212i,2.3874e-12-49641i,2.3874e-12+49641i,-2.4727e-12-36952i,-2.4727e-12+36952i,-4.5475e-13-27114i,-4.5475e-13+27114i,4.5475e-13-16813i,4.5475e-13+16813i,1.3642e-12-10661i,1.3642e-12+10661i,1.8114e-12,-1.1084e-12-4080.9i,-1.1084e-12+4080.9i
0-71858i,0+71858i,3.638e-12-57549i,3.638e-12+57549i,-9.0949e-13-41151i,-9.0949e-13+41151i,0-33698i,0+33698i,1.3642e-12-19160i,1.3642e-12+19160i,-2.7285e-12-9971.7i,-2.7285e-12+9971.7i,-1.819e-12-5543.3i,-1.819e-12+5543.3i,3.1284e-12
2.8422e-12-1.049e+05i,2.8422e-12+1.049e+05i,0-77754i,0+77754i,-1.121e-44-52681i,-1.121e-44+52681i,5.9686e-13-42646i,5.9686e-13+42646i,2.3874e-12-25548i,2.3874e-12+25548i,-3.3792e-14,-1.3642e-12-11295i,-1.3642e-12+11295i,1.279e-13-18272i,1.279e-13+18272i
6.3665e-12-1.1491e+05i,6.3665e-12+1.1491e+05i,-2.7285e-12-76576i,-2.7285e-12+76576i,3.1832e-12-45073i,3.1832e-12+45073i,-8.5265e-13-30715i,-8.5265e-13+30715i,1.3642e-12-24721i,1.3642e-12+24721i,-2.5064e-12,1.3642e-12-17900i,1.3642e-12+17900i,-9.0949e-13-13349i,-9.0949e-13+13349i
