-2.7285e-12-63736i,-2.7285e-12+63736i,3.2596e-13-26.12i,3.2596e-13+26.12i,2.6024e-13-12.166i,2.6024e-13+12.166i,-8.6442e-13-6.2107i,-8.6442e-13+6.2107i,4.3576e-13-3.3708i,4.3576e-13+3.3708i,-1.3589e-13-1.8488i,-1.3589e-13+1.8488i,-5.0082e-13-0.29378i,-5.0082e-13+0.29378i,1.9884e-13
-3.638e-12-64215i,-3.638e-12+64215i,0-26.491i,0+26.491i,2.1592e-12-8.5468i,2.1592e-12+8.5468i,-1.8785e-13-5.9728i,-1.8785e-13+5.9728i,1.0503e-13-3.0403i,1.0503e-13+3.0403i,-4.6227e-13-1.158i,-4.6227e-13+1.158i,-2.6378e-13-0.6417i,-2.6378e-13+0.6417i,8.9883e-13
0-64673i,0+64673i,4.6541e-13-34.871i,4.6541e-13+34.871i,2.629e-13-9.7901i,2.629e-13+9.7901i,-4.9093e-13-7.8916i,-4.9093e-13+7.8916i,-3.4339e-13-4.1125i,-3.4339e-13+4.1125i,3.792e-13-1.9324i,3.792e-13+1.9324i,6.2755e-14-0.52215i,6.2755e-14+0.52215i,5.1344e-13
1.1369e-12-64459i,1.1369e-12+64459i,-1.279e-13-39.061i,-1.279e-13+39.061i,-7.6872e-13-12.36i,-7.6872e-13+12.36i,1.0847e-13-8.5449i,1.0847e-13+8.5449i,4.4131e-13-3.662i,4.4131e-13+3.662i,-6.9722e-14-1.5282i,-6.9722e-14+1.5282i,1.909e-13-0.64222i,1.909e-13+0.64222i,1.2158e-13
-1.819e-12-66210i,-1.819e-12+66210i,2.2204e-13-62.69i,2.2204e-13+62.69i,-1.1281e-12-20.739i,-1.1281e-12+20.739i,-1.5732e-13-8.1915i,-1.5732e-13+8.1915i,-2.8577e-13-7.4748i,-2.8577e-13+7.4748i,-3.0748e-13-3.3103i,-3.0748e-13+3.3103i,-3.7391e-13-0.53375i,-3.7391e-13+0.53375i,2.9594e-13
-6.8212e-13-93256i,-6.8212e-13+93256i,-2.2737e-13-32212i,-2.2737e-13+32212i,-1.5916e-12-21965i,-1.5916e-12+21965i,1.3642e-12-6576.2i,1.3642e-12+6576.2i,2.558e-13-351.95i,2.558e-13+351.95i,-3.9435e-13-72.445i,-3.9435e-13+72.445i,-5.0893e-13-26.399i,-5.0893e-13+26.399i,-6.8315e-13
-8.4401e-10-2.8477e+07i,-8.4401e-10+2.8477e+07i,-2.0373e-10-2.4513e+07i,-2.0373e-10+2.4513e+07i,-2.3283e-10-1.372e+07i,-2.3283e-10+1.372e+07i,-9.3132e-10-1.0478e+07i,-9.3132e-10+1.0478e+07i,-5.8208e-11-6.4554e+06i,-5.8208e-11+6.4554e+06i,5.8208e-11-2.7105e+06i,5.8208e-11+2.7105e+06i,-2.0373e-10-1.1946e+06i,-2.0373e-10+1.1946e+06i,1.0725e-09
-6.5484e-11-4.5812e+06i,-6.5484e-11+4.5812e+06i,1.819e-12-2.1402e+05i,1.819e-12+2.1402e+05i,2.9104e-11-89642i,2.9104e-11+89642i,0-77206i,0+77206i,0-47934i,0+47934i,-2.7285e-12-34019i,-2.7285e-12+34019i,-2.0407e-11-4744.3i,-2.0407e-11+4744.3i,-8.8462e-12
2.193e-10-4.5954e+06i,2.193e-10+4.5954e+06i,-1.0914e-11-6.0796e+05i,-1.0914e-11+6.0796e+05i,-1.1278e-10-1.817e+05i,-1.1278e-10+1.817e+05i,-2.5466e-11-1.6721e+05i,-2.5466e-11+1.6721e+05i,1.819e-11-37190i,1.819e-11+37190i,4.4452e-11-8602.3i,4.4452e-11+8602.3i,-2.6432e-12-2510.9i,-2.6432e-12+2510.9i,-1.0007e-11
1.397e-09-4.8915e+07i,1.397e-09+4.8915e+07i,-2.9104e-11-2.4156e+07i,-2.9104e-11+2.4156e+07i,-1.1642e-10-2.5824e+07i,-1.1642e-10+2.5824e+07i,4.6566e-10-1.1371e+07i,4.6566e-10+1.1371e+07i,-4.3656e-10-2.5944e+06i,-4.3656e-10+2.5944e+06i,-1.397e-09-1.6757e+06i,-1.397e-09+1.6757e+06i,-3.6067e-09,-5.1659e-10-2.3695e+05i,-5.1659e-10+2.3695e+05i
1.8626e-09-5.9686e+07i,1.8626e-09+5.9686e+07i,-5.5297e-10-2.9196e+07i,-5.5297e-10+2.9196e+07i,-8.0036e-11-2.6024e+07i,-8.0036e-11+2.6024e+07i,8.3674e-11-9.9758e+06i,8.3674e-11+9.9758e+06i,-1.1642e-10-2.9718e+06i,-1.1642e-10+2.9718e+06i,-4.0745e-10-1.755e+06i,-4.0745e-10+1.755e+06i,2.8704e-09,3.7835e-10-9.4822e+05i,3.7835e-10+9.4822e+05i
9.8953e-10-3.6584e+07i,9.8953e-10+3.6584e+07i,0-2.5054e+07i,0+2.5054e+07i,-5.6752e-10-9.1205e+06i,-5.6752e-10+9.1205e+06i,1.7462e-10-7.0325e+06i,1.7462e-10+7.0325e+06i,-4.1109e-10-2.7055e+06i,-4.1109e-10+2.7055e+06i,5.2387e-10-1.7848e+06i,5.2387e-10+1.7848e+06i,2.6193e-10-5.3468e+05i,2.6193e-10+5.3468e+05i,6.2431e-10
-2.9104e-09-9.4857e+07i,-2.9104e-09+9.4857e+07i,-3.3959e-72-4.0283e+07i,-3.3959e-72+4.0283e+07i,5.8208e-11-3.2826e+07i,5.8208e-11+3.2826e+07i,0-1.9852e+07i,0+1.9852e+07i,1.1642e-10-4.7062e+06i,1.1642e-10+4.7062e+06i,-8.7311e-10-3.2696e+06i,-8.7311e-10+3.2696e+06i,-2.0956e-09,5.2387e-10-6.9688e+05i,5.2387e-10+6.9688e+05i
-1.6007e-10-2.3017e+07i,-1.6007e-10+2.3017e+07i,8.7311e-10-1.4958e+07i,8.7311e-10+1.4958e+07i,-1.3097e-10-6.1448e+06i,-1.3097e-10+6.1448e+06i,2.3283e-10-3.6933e+06i,2.3283e-10+3.6933e+06i,-5.8208e-11-2.26e+06i,-5.8208e-11+2.26e+06i,-2.3647e-11-8.3494e+05i,-2.3647e-11+8.3494e+05i,-5.7577e-10,-2.9104e-10-3.0123e+05i,-2.9104e-10+3.0123e+05i
-1.1096e-10-2.2014e+07i,-1.1096e-10+2.2014e+07i,-4.3656e-10-1.4817e+07i,-4.3656e-10+1.4817e+07i,6.5484e-10-9.515e+06i,6.5484e-10+9.515e+06i,0-6.2728e+06i,0+6.2728e+06i,-2.6193e-10-2.238e+06i,-2.6193e-10+2.238e+06i,-3.3469e-10-1.281e+06i,-3.3469e-10+1.281e+06i,9.0222e-10-7.4418e+05i,9.0222e-10+7.4418e+05i,-7.7727e-11
0-8.4531e+06i,0+8.4531e+06i,-4.6566e-10-7.1078e+06i,-4.6566e-10+7.1078e+06i,2.3283e-10-2.6281e+06i,2.3283e-10+2.6281e+06i,2.6739e-10-2.0307e+06i,2.6739e-10+2.0307e+06i,-8.7311e-11-1.1419e+06i,-8.7311e-11+1.1419e+06i,1.528e-10-5.9622e+05i,1.528e-10+5.9622e+05i,-6.2501e-11,5.0932e-11-2.6622e+05i,5.0932e-11+2.6622e+05i
-3.2014e-10-2.2825e+07i,-3.2014e-10+2.2825e+07i,8.1491e-10-1.4167e+07i,8.1491e-10+1.4167e+07i,9.8953e-10-1.2732e+07i,9.8953e-10+1.2732e+07i,-4.0745e-10-5.7282e+06i,-4.0745e-10+5.7282e+06i,4.3656e-11-2.4384e+06i,4.3656e-11+2.4384e+06i,1.1642e-10-1.2415e+06i,1.1642e-10+1.2415e+06i,-9.8468e-10,4.5839e-10-4.9831e+05i,4.5839e-10+4.9831e+05i
-1.1642e-10-1.2936e+07i,-1.1642e-10+1.2936e+07i,1.6007e-10-7.1304e+06i,1.6007e-10+7.1304e+06i,-2.9104e-11-4.7554e+06i,-2.9104e-11+4.7554e+06i,1.7462e-10-3.0391e+06i,1.7462e-10+3.0391e+06i,-2.4738e-10-1.28e+06i,-2.4738e-10+1.28e+06i,2.7649e-10-8.008e+05i,2.7649e-10+8.008e+05i,-2.9104e-11-1.0344e+05i,-2.9104e-11+1.0344e+05i,6.3106e-12
