0-4.1389e+07i,0+4.1389e+07i,-1.2806e-09-1.8793e+07i,-1.2806e-09+1.8793e+07i,-6.9849e-10-1.239e+07i,-6.9849e-10+1.239e+07i,2.6193e-10-3.7135e+06i,2.6193e-10+3.7135e+06i,2.1646e-10-2.8281e+06i,2.1646e-10+2.8281e+06i,-6.9849e-10-2.3433e+06i,-6.9849e-10+2.3433e+06i,0-1.4997e+06i,0+1.4997e+06i,-4.7294e-11-6.1377e+05i,-4.7294e-11+6.1377e+05i,1.4552e-11-3.7915e+05i,1.4552e-11+3.7915e+05i,3.6925e-10-2.1857e+05i,3.6925e-10+2.1857e+05i,-2.0282e-10-27306i,-2.0282e-10+27306i,-5.457e-11-86338i,-5.457e-11+86338i
-4.6566e-10-4.4318e+07i,-4.6566e-10+4.4318e+07i,2.794e-09-2.2409e+07i,2.794e-09+2.2409e+07i,2.3283e-10-9.6795e+06i,2.3283e-10+9.6795e+06i,2.3283e-10-5.2481e+06i,2.3283e-10+5.2481e+06i,4.2201e-10-3.392e+06i,4.2201e-10+3.392e+06i,1.1642e-10-1.84e+06i,1.1642e-10+1.84e+06i,8.7311e-11-1.0917e+06i,8.7311e-11+1.0917e+06i,-1.0186e-10-7.9661e+05i,-1.0186e-10+7.9661e+05i,-1.0841e-09-5.2119e+05i,-1.0841e-09+5.2119e+05i,-4.4565e-10-2.2243e+05i,-4.4565e-10+2.2243e+05i,2.8376e-10-1.2167e+05i,2.8376e-10+1.2167e+05i,-4.5475e-11-27474i,-4.5475e-11+27474i
-2.794e-09-4.9336e+07i,-2.794e-09+4.9336e+07i,0-2.3166e+07i,0+2.3166e+07i,2.3283e-10-9.6258e+06i,2.3283e-10+9.6258e+06i,2.6193e-10-3.9791e+06i,2.6193e-10+3.9791e+06i,-6.9849e-10-2.9236e+06i,-6.9849e-10+2.9236e+06i,4.6566e-10-2.3363e+06i,4.6566e-10+2.3363e+06i,-2.0373e-10-1.2767e+06i,-2.0373e-10+1.2767e+06i,-3.7835e-10-8.0814e+05i,-3.7835e-10+8.0814e+05i,2.9104e-10-5.659e+05i,2.9104e-10+5.659e+05i,4.6566e-10-2.7725e+05i,4.6566e-10+2.7725e+05i,-1.146e-10-1.0976e+05i,-1.146e-10+1.0976e+05i,-1.0914e-11-41303i,-1.0914e-11+41303i
-1.8626e-09-4.6371e+07i,-1.8626e-09+4.6371e+07i,1.7462e-10-2.2753e+07i,1.7462e-10+2.2753e+07i,4.5111e-10-8.4269e+06i,4.5111e-10+8.4269e+06i,-3.638e-10-5.4459e+06i,-3.638e-10+5.4459e+06i,-6.9849e-10-3.3334e+06i,-6.9849e-10+3.3334e+06i,0-2.275e+06i,0+2.275e+06i,-5.5297e-10-1.2665e+06i,-5.5297e-10+1.2665e+06i,-1.146e-10-8.4475e+05i,-1.146e-10+8.4475e+05i,2.0373e-10-3.9149e+05i,2.0373e-10+3.9149e+05i,4.5111e-10-3.0867e+05i,4.5111e-10+3.0867e+05i,7.6398e-11-1.8981e+05i,7.6398e-11+1.8981e+05i,-1.0749e-10-6714.7i,-1.0749e-10+6714.7i
-2.0955e-09-8.8027e+07i,-2.0955e-09+8.8027e+07i,-1.8626e-09-1.8405e+07i,-1.8626e-09+1.8405e+07i,-7.3487e-10-1.3524e+07i,-7.3487e-10+1.3524e+07i,-8.8434e-73-5.3954e+06i,-8.8434e-73+5.3954e+06i,2.3283e-10-3.152e+06i,2.3283e-10+3.152e+06i,1.2806e-09-2.0024e+06i,1.2806e-09+2.0024e+06i,-6.6393e-11-1.3957e+06i,-6.6393e-11+1.3957e+06i,2.3283e-10-8.2391e+05i,2.3283e-10+8.2391e+05i,1.8554e-10-4.3699e+05i,1.8554e-10+4.3699e+05i,-4.3656e-10-3.1431e+05i,-4.3656e-10+3.1431e+05i,-3.1287e-10-1.7566e+05i,-3.1287e-10+1.7566e+05i,-2.7319e-10-1177.7i,-2.7319e-10+1177.7i
0-6.5353e+07i,0+6.5353e+07i,0-2.1702e+07i,0+2.1702e+07i,6.9849e-10-1.2179e+07i,6.9849e-10+1.2179e+07i,6.2573e-10-6.1873e+06i,6.2573e-10+6.1873e+06i,-1.146e-10-4.2236e+06i,-1.146e-10+4.2236e+06i,2.1537e-09-2.3683e+06i,2.1537e-09+2.3683e+06i,-3.4925e-10-2.0134e+06i,-3.4925e-10+2.0134e+06i,-7.276e-10-9.6301e+05i,-7.276e-10+9.6301e+05i,-1.1278e-09-6.593e+05i,-1.1278e-09+6.593e+05i,-4.3656e-10-3.4944e+05i,-4.3656e-10+3.4944e+05i,2.3283e-10-2.5471e+05i,2.3283e-10+2.5471e+05i,1.2432e-10-1478.2i,1.2432e-10+1478.2i
1.7462e-09-5.1874e+07i,1.7462e-09+5.1874e+07i,-5.8208e-11-3.7694e+07i,-5.8208e-11+3.7694e+07i,-4.6566e-10-1.0709e+07i,-4.6566e-10+1.0709e+07i,4.6566e-10-5.7807e+06i,4.6566e-10+5.7807e+06i,1.8044e-09-3.0689e+06i,1.8044e-09+3.0689e+06i,2.9104e-10-1.8207e+06i,2.9104e-10+1.8207e+06i,4.2201e-10-9.2049e+05i,4.2201e-10+9.2049e+05i,3.2014e-10-5.058e+05i,3.2014e-10+5.058e+05i,2.9104e-11-3.4154e+05i,2.9104e-11+3.4154e+05i,3.8938e-10-2.3494e+05i,3.8938e-10+2.3494e+05i,-3.2742e-11-92783i,-3.2742e-11+92783i,1.1869e-10-11705i,1.1869e-10+11705i
-2.9104e-10-5.98e+07i,-2.9104e-10+5.98e+07i,-3.7253e-09-3.5942e+07i,-3.7253e-09+3.5942e+07i,1.6007e-10-1.0207e+07i,1.6007e-10+1.0207e+07i,-8.7311e-11-6.5476e+06i,-8.7311e-11+6.5476e+06i,5.8208e-10-2.9336e+06i,5.8208e-10+2.9336e+06i,2.0373e-10-2.0202e+06i,2.0373e-10+2.0202e+06i,-1.2915e-10-1.1537e+06i,-1.2915e-10+1.1537e+06i,-8.0036e-10-7.4011e+05i,-8.0036e-10+7.4011e+05i,1.2151e-09-4.0743e+05i,1.2151e-09+4.0743e+05i,3.8835e-10-1.2541e+05i,3.8835e-10+1.2541e+05i,-3.1832e-12-61413i,-3.1832e-12+61413i,-1.1732e-10-3098.4i,-1.1732e-10+3098.4i
-1.6298e-09-4.5633e+07i,-1.6298e-09+4.5633e+07i,5.8208e-10-3.7044e+07i,5.8208e-10+3.7044e+07i,4.6566e-10-1.1233e+07i,4.6566e-10+1.1233e+07i,3.4925e-10-5.8973e+06i,3.4925e-10+5.8973e+06i,-1.1642e-10-2.6874e+06i,-1.1642e-10+2.6874e+06i,-2.0373e-10-2.102e+06i,-2.0373e-10+2.102e+06i,1.3897e-09-9.3946e+05i,1.3897e-09+9.3946e+05i,1.3824e-10-6.4724e+05i,1.3824e-10+6.4724e+05i,1.7462e-10-3.5096e+05i,1.7462e-10+3.5096e+05i,-4.5839e-10-1.7856e+05i,-4.5839e-10+1.7856e+05i,4.0382e-10-1.0639e+05i,4.0382e-10+1.0639e+05i,5.0022e-11-15822i,5.0022e-11+15822i
1.5134e-09-4.8607e+07i,1.5134e-09+4.8607e+07i,-4.6566e-10-3.3898e+07i,-4.6566e-10+3.3898e+07i,-1.1332e-09-9.8285e+06i,-1.1332e-09+9.8285e+06i,4.6817e-96-6.2964e+06i,4.6817e-96+6.2964e+06i,1.0477e-09-2.424e+06i,1.0477e-09+2.424e+06i,4.3656e-10-1.4323e+06i,4.3656e-10+1.4323e+06i,-1.819e-10-8.8906e+05i,-1.819e-10+8.8906e+05i,-5.8571e-10-5.4714e+05i,-5.8571e-10+5.4714e+05i,-8.6584e-10-2.5333e+05i,-8.6584e-10+2.5333e+05i,7.476e-10-1.3637e+05i,7.476e-10+1.3637e+05i,4.0563e-10-53924i,4.0563e-10+53924i,-2.4647e-10-15466i,-2.4647e-10+15466i
2.3283e-10-2.8772e+07i,2.3283e-10+2.8772e+07i,-2.3283e-10-4.7999e+06i,-2.3283e-10+4.7999e+06i,-1.1642e-10-1.3083e+06i,-1.1642e-10+1.3083e+06i,-1.4552e-10-7.7002e+05i,-1.4552e-10+7.7002e+05i,-2.9104e-11-2.2777e+05i,-2.9104e-11+2.2777e+05i,-5.8208e-11-98952i,-5.8208e-11+98952i,6.0027e-11-40191i,6.0027e-11+40191i,4.5475e-11-23260i,4.5475e-11+23260i,2.774e-11-16027i,2.774e-11+16027i,8.9585e-11-7081.1i,8.9585e-11+7081.1i,1.3529e-11-1310.4i,1.3529e-11+1310.4i,-3.2701e-11-96.679i,-3.2701e-11+96.679i
